hr,steps,temp,calories
97,0,90.5,2.3
94,0,90.5,1.9
105,0,90.5,2.8
97,0,91.4,2.2
98,0,90.5,2.3
97,0,90.5,2.2
105,0,90.5,2.7
101,0,90.5,2.5
90,0,90.5,1.8
97,0,90.5,2.2
100,0,90.5,2.5
100,11,90.5,2.4
104,25,90.5,2.8
98,0,90.5,2.3
100,0,89.6,2.4
105,52,89.6,2.9
100,0,89.6,2.5
94,0,89.6,2
90,0,88.7,1.8
92,0,88.7,1.8
94,0,88.7,2.1
95,0,88.7,2
96,0,89.6,2.1
94,0,89.6,2
94,0,89.6,2
91,0,89.6,1.7
93,0,89.6,1.9
95,0,89.6,2.1
93,0,89.6,1.9
98,0,89.6,2.5
100,50,90.5,2.6
95,32,89.6,2.1
92,101,89.6,2.2
100,41,89.6,2.6
101,58,89.6,2.8
114,73,89.6,4.4
112,70,88.7,4
100,19,88.7,2.5
98,7,88.7,2.2
108,0,88.7,2.9
101,6,88.7,2.6
99,8,87.8,2.4
95,8,87.8,2
95,0,87.8,2.2
99,0,87.8,2.3
103,0,87.8,2.6
104,0,87.8,2.8
105,0,86.9,3
98,0,86.9,2.3
95,0,86.9,2.1
95,0,87.8,1.9
94,0,87.8,2
96,0,87.8,2.1
97,0,87.8,2.2
100,0,87.8,2.4
104,0,87.8,2.7
103,0,87.8,2.6
98,0,87.8,2.3
101,0,88.7,2.6
99,0,88.7,2.4
96,0,88.7,2.2
100,0,88.7,2.4
97,0,88.7,2.2
95,0,88.7,2
101,7,88.7,2.6
99,47,87.8,2.6
105,29,88.7,3
88,86,88.7,2.1
90,109,88.7,2.2
95,0,88.7,2.2
91,0,88.7,1.8
96,0,88.7,2.2
97,0,88.7,2.1
97,0,88.7,2.3
94,0,88.7,2
91,0,88.7,1.8
89,0,88.7,1.8
91,0,89.6,1.8
96,0,89.6,2.2
94,0,89.6,2
99,0,89.6,2.3
103,0,89.6,2.8
93,0,89.6,1.9
93,0,88.7,1.9
94,0,89.6,2
94,0,89.6,1.9
93,0,89.6,2
96,0,89.6,2.1
96,0,89.6,2.7
116,102,89.6,5.2
114,105,89.6,4.3
106,59,89.6,4.1
104,0,89.6,2.9
99,0,89.6,2.5
98,0,89.6,2.3
99,0,89.6,2.4
98,0,89.6,2.3
98,0,89.6,2.4
97,0,90.5,2.2
101,0,90.5,2.6
97,0,90.5,2.2
98,0,92.3,2.5
98,0,93.2,2.5
103,8,94.1,3
109,102,94.1,3.4
93,65,94.1,2.2
96,57,93.2,2.1
105,26,92.3,2.9
92,0,91.4,1.9
87,0,91.4,1.8
104,45,91.4,2.8
97,0,90.5,2.3
99,0,90.5,2.4
97,50,90.5,2.4
96,0,90.5,2.2
99,0,90.5,2.4
97,21,90.5,2.4
100,10,89.6,2.6
102,22,89.6,2.7
106,17,89.6,3.4
96,0,89.6,2.2
97,0,89.6,2.3
98,0,89.6,2.5
102,0,89.6,2.5
94,0,89.6,2.1
95,0,90.5,2.1
101,0,90.5,2.6
103,50,90.5,2.8
105,43,89.6,3.1
103,33,89.6,2.8
93,19,89.6,2.1
101,0,89.6,2.5
96,0,89.6,2.2
98,0,89.6,2.3
92,26,89.6,2.1
98,14,90.5,2.4
98,0,90.5,2.5
95,0,90.5,2.2
97,0,90.5,2.1
101,0,90.5,2.6
96,39,90.5,2.4
103,62,90.5,2.9
100,43,90.5,2.5
95,43,90.5,2.5
109,0,89.6,3.2
98,0,89.6,2.6
97,0,90.5,2.5
95,0,90.5,2.2
95,0,90.5,2.1
95,0,90.5,2.1
97,0,90.5,2.3
95,0,91.4,2.4
96,0,91.4,2.3
96,0,91.4,2.3
103,8,91.4,3.2
102,23,91.4,3
107,89,91.4,3.3
104,49,91.4,2.9
100,39,90.5,2.6
104,95,90.5,3
103,74,89.6,3
96,92,89.6,2.4
120,71,88.7,6.6
139,90,88.7,11.5
120,46,88.7,7
98,75,87.8,2.6
103,58,87.8,2.9
95,0,87.8,2.3
98,26,87.8,2.6
99,54,87.8,2.4
101,0,87.8,2.8
102,0,87.8,2.7
94,0,87.8,2.2
99,0,87.8,2.4
97,0,86.9,2.2
96,0,87.8,2.2
97,0,87.8,2.4
108,0,87.8,3.2
103,24,87.8,2.9
104,0,88.7,3
110,0,88.7,3.2
102,0,88.7,2.7
101,0,88.7,2.5
104,0,88.7,3
107,0,88.7,3
99,0,88.7,2.5
97,0,88.7,2.4
94,0,88.7,1.9
96,0,88.7,2.1
93,0,88.7,1.9
94,0,89.6,2
92,0,88.7,1.8
94,0,88.7,2
99,0,88.7,2.4
100,57,88.7,2.7
95,101,89.6,2.4
103,32,88.7,2.8
103,43,88.7,2.8
102,58,88.7,2.9
96,68,88.7,2.4
98,39,87.8,2.4
99,49,87.8,2.6
95,79,87.8,2.3
102,49,87.8,2.7
101,58,87.8,2.7
97,34,87.8,2.4
92,33,87.8,2
104,45,87.8,2.8
97,0,87.8,2.4
89,40,87.8,1.9
90,53,86.9,2
100,89,87.8,2.7
106,66,87.8,3
104,56,86.9,2.7
107,100,86.9,3.9
99,34,86.9,2.5
107,75,86.9,3.9
119,77,86.9,6.4
100,39,86.9,2.6
99,0,86.9,2.5
96,0,86.9,2.2
97,0,86.9,2.3
92,0,86.9,1.9
95,12,86.9,2.2
100,34,86.9,2.7
101,0,86.9,2.7
102,73,86.9,2.9
105,24,86.9,2.9
95,32,86.9,2.2
103,102,86.9,3
100,24,87.8,2.7
94,0,87.8,2.3
98,0,87.8,2.6
92,0,87.8,2.1
92,0,87.8,2
93,0,88.7,2
94,0,88.7,2.3
98,0,88.7,2.4
101,23,88.7,2.6
100,0,88.7,2.6
89,0,88.7,2
96,11,88.7,2.6
94,40,88.7,2.2
94,12,88.7,2.6
96,29,87.8,2.3
93,0,87.8,2.5
100,34,87.8,2.8
104,6,87.8,3.1
97,0,87.8,2.3
95,0,87.8,2.4
96,9,87.8,2.6
102,0,87.8,2.9
95,0,87.8,2.2
94,0,87.8,2.2
96,0,87.8,2.5
97,0,88.7,2.6
96,0,88.7,2.5
101,0,88.7,2.9
95,0,88.7,2.1
94,0,88.7,2.4
107,78,88.7,3.4
110,86,88.7,3.5
106,49,88.7,3.7
94,0,88.7,2.1
100,0,88.7,2.6
100,0,88.7,2.6
99,0,88.7,2.7
102,0,88.7,2.6
102,0,88.7,2.8
108,7,88.7,4.1
98,91,88.7,2.7
103,30,88.7,2.7
101,33,88.7,2.9
104,0,87.8,3.1
96,0,87.8,2.6
94,0,88.7,2.2
94,0,88.7,2.1
93,0,88.7,2.1
97,0,88.7,2.4
104,0,88.7,3.1
101,30,88.7,2.9
99,19,88.7,2.5
98,0,88.7,2.4
97,0,88.7,2.5
103,0,88.7,3
99,11,88.7,2.5
98,26,88.7,2.6
94,0,88.7,2.1
88,0,88.7,2
95,0,88.7,2.4
102,0,88.7,2.9
99,0,88.7,2.6
94,25,88.7,2.5
86,0,87.8,1.7
85,0,88.7,1.6
79,0,87.8,1.5
84,0,87.8,1.5
83,0,88.7,1.4
85,0,88.7,1.6
86,0,88.7,1.5
86,0,89.6,1.6
85,0,89.6,1.5
87,0,89.6,1.6
86,0,89.6,1.6
86,0,89.6,1.5
81,0,89.6,1.5
87,10,89.6,1.8
84,7,89.6,1.5
87,0,89.6,1.8
88,9,90.5,1.9
91,9,90.5,2.1
99,23,89.6,2.4
93,0,89.6,2.1
96,14,89.6,2.4
91,31,89.6,2
98,0,89.6,2.6
94,23,88.7,2.3
97,7,88.7,2.4
97,0,88.7,2.3
90,12,88.7,1.8
93,24,88.7,2.2
104,0,88.7,2.9
112,0,88.7,4.2
105,13,88.7,2.8
105,13,88.7,3
93,17,87.8,2.2
99,14,87.8,2.4
92,12,87.8,2.1
98,11,86.9,2.5
110,26,86.9,3.8
92,0,86.9,2.1
90,0,86.9,1.8
107,0,86.9,2.9
107,27,86.9,2.8
91,0,86.9,1.9
101,0,86.9,2.2
98,22,87.8,2.6
93,0,86.9,2.1
92,0,86.9,2
92,10,86.9,2
82,0,87.8,1.5
82,0,87.8,1.5
86,22,87.8,1.7
103,23,88.7,3
100,27,88.7,2.8
91,25,88.7,2
97,24,88.7,2.5
103,23,88.7,2.8
91,22,88.7,2.2
101,0,88.7,2.5
108,26,88.7,3.7
102,89,88.7,3
105,94,87.8,3.5
97,79,87.8,2.8
101,105,86.9,2.6
101,12,86.9,2.8
97,40,86,2.5
96,37,86,2.4
89,36,86,1.9
86,0,86,1.6
92,0,86,2
88,0,86,1.7
85,0,86.9,1.8
94,23,86.9,2.2
88,0,87.8,1.6
88,0,87.8,1.8
92,14,87.8,2
88,9,87.8,2
87,16,87.8,2
97,0,87.8,2.4
98,0,94.1,3.1
97,11,93.2,2.8
93,14,91.4,2.5
103,11,90.5,3.4
87,0,89.6,1.8
86,0,88.7,1.7
89,16,88.7,2
96,0,87.8,2.3
93,51,87.8,2.1
89,0,87.8,1.7
86,0,87.8,1.6
89,36,86.9,2
91,17,86.9,1.9
83,0,86.9,1.6
83,0,86.9,1.7
76,0,86.9,1.4
76,0,86.9,1.5
77,0,86.9,1.5
79,0,87.8,1.4
82,0,87.8,1.6
85,0,87.8,1.5
82,0,87.8,1.5
87,0,88.7,1.6
86,0,87.8,1.6
84,0,87.8,1.5
82,0,87.8,1.5
85,0,87.8,1.5
82,0,87.8,1.4
85,0,87.8,1.6
83,0,87.8,1.5
83,0,87.8,1.5
84,0,86.9,1.5
78,0,86.9,1.5
77,0,86.9,1.4
75,0,86.9,1.5
75,0,87.8,1.5
77,0,87.8,1.4
75,0,87.8,1.5
79,0,87.8,1.5
78,0,87.8,1.4
78,0,87.8,1.5
77,0,87.8,1.5
79,0,88.7,1.5
77,0,87.8,1.4
78,0,88.7,1.5
78,0,88.7,1.5
79,0,88.7,1.4
75,0,87.8,1.5
81,0,86.9,1.5
83,0,87.8,1.5
82,0,87.8,1.5
82,0,86.9,1.5
78,0,87.8,1.5
82,0,86.9,1.4
85,0,87.8,1.6
91,31,87.8,2.2
101,22,87.8,2.8
99,17,88.7,2.6
87,0,87.8,1.6
86,0,87.8,1.5
89,0,87.8,1.9
99,18,87.8,2.8
102,0,87.8,2.8
100,0,88.7,2.7
97,13,87.8,2.6
94,18,87.8,2.2
90,0,87.8,1.8
87,0,87.8,1.5
87,0,87.8,1.6
87,0,87.8,1.6
86,0,87.8,1.5
89,0,87.8,1.9
80,0,88.7,1.5
84,0,88.7,1.5
80,0,88.7,1.5
79,0,88.7,1.4
