hr,steps,gsr,calories,temp
95,0,0.000129976,2,89.6
97,0,0.00010076,2.2,89.6
95,0,0.000115074,2,89.6
90,0,0.000110701,1.7,89.6
95,0,6.16E-05,2.1,90.5
87,0,6.09E-05,1.6,89.6
95,0,0.000102447,2,90.5
96,0,8.73E-05,2,90.5
92,0,7.07E-05,1.9,90.5
94,0,0.00010474,2,90.5
101,38,0.000242937,2.6,90.5
98,0,7.11E-05,2.3,90.5
93,0,6.36E-05,2,89.6
98,0,0.000108277,2.3,89.6
95,0,5.96E-05,2.1,89.6
95,0,0.000109482,2.1,89.6
98,0,9.69E-05,2.3,89.6
92,0,9.17E-05,1.9,89.6
96,0,0.000101319,2.1,89.6
95,0,0.00015776,2.2,89.6
100,0,0.000155162,2.5,89.6
96,0,0.000126428,2.2,89.6
96,0,7.39E-05,2.3,89.6
97,0,5.89E-05,2.3,89.6
97,0,8.92E-05,2.3,88.7
94,0,6.58E-05,2,88.7
95,43,8.12E-05,2.3,89.6
103,0,7.39E-05,2.7,88.7
102,0,8.35E-05,2.6,88.7
99,0,0.000116355,2.3,88.7
91,13,0.000132152,2,88.7
96,0,8.58E-05,2.2,88.7
99,0,9.48E-05,2.3,88.7
95,0,6.23E-05,2,88.7
97,0,5.96E-05,2.3,89.6
93,0,6.12E-05,1.8,89.6
95,0,6.12E-05,2.1,89.6
95,0,6.40E-05,2.1,89.6
86,0,5.86E-05,1.5,89.6
92,0,5.73E-05,1.8,89.6
92,0,5.79E-05,1.8,90.5
89,0,5.86E-05,1.8,90.5
85,0,5.92E-05,1.5,90.5
91,0,5.92E-05,1.8,90.5
96,0,5.92E-05,2,90.5
95,0,5.96E-05,2.1,90.5
91,0,6.16E-05,1.7,90.5
96,0,7.03E-05,2.1,90.5
96,0,0.000105322,2.1,90.5
94,0,8.49E-05,2,90.5
94,0,6.12E-05,1.9,90.5
94,0,6.33E-05,2,90.5
89,0,6.65E-05,1.8,90.5
92,0,6.33E-05,1.8,90.5
97,0,8.82E-05,2.3,91.4
95,0,9.07E-05,2.1,91.4
95,0,0.000125036,2.1,90.5
94,0,0.000153454,2.1,90.5
98,0,0.000143592,2.4,90.5
96,0,0.000148441,2.1,90.5
96,0,0.000222348,2.1,90.5
96,0,9.32E-05,2.2,90.5
97,0,0.000124346,2.2,90.5
98,0,8.03E-05,2.3,90.5
102,0,7.35E-05,2.6,90.5
92,0,0.000106494,1.9,90.5
91,0,0.000218686,1.8,90.5
93,0,6.19E-05,2,90.5
92,0,0.000206911,1.8,90.5
91,0,0.000122298,1.8,90.5
94,0,8.03E-05,2,90.5
89,0,8.63E-05,1.7,90.5
91,0,8.63E-05,1.8,90.5
90,0,5.89E-05,1.7,90.5
95,0,5.96E-05,2.1,90.5
92,0,0.000115713,1.9,90.5
98,0,9.32E-05,2.1,90.5
98,0,0.000117651,2.3,90.5
98,0,7.90E-05,2.2,90.5
100,0,7.23E-05,2.5,90.5
97,0,7.35E-05,2.1,90.5
99,0,6.23E-05,2.4,90.5
95,0,6.06E-05,2.1,90.5
96,0,6.40E-05,2.1,90.5
94,0,9.32E-05,1.9,90.5
94,0,0.000110701,1.9,90.5
94,0,8.03E-05,2,90.5
93,0,5.96E-05,1.8,90.5
96,0,5.99E-05,2.1,90.5
95,0,5.99E-05,2.1,90.5
94,10,6.06E-05,2,90.5
96,0,7.73E-05,2.1,90.5
96,0,8.58E-05,2.1,91.4
97,0,5.86E-05,2.2,90.5
91,0,9.53E-05,1.8,90.5
94,0,5.79E-05,1.9,90.5
96,0,7.77E-05,2.1,90.5
96,0,7.19E-05,2.1,90.5
99,0,6.69E-05,2.4,90.5
95,0,6.12E-05,2.1,90.5
95,0,6.12E-05,2.2,90.5
97,0,5.86E-05,2.3,90.5
94,0,5.89E-05,1.9,90.5
105,0,6.16E-05,2.8,90.5
97,0,5.83E-05,2.2,91.4
98,0,5.83E-05,2.3,90.5
97,0,5.83E-05,2.2,90.5
105,0,5.89E-05,2.7,90.5
101,0,6.19E-05,2.5,90.5
90,0,6.29E-05,1.8,90.5
97,0,5.83E-05,2.2,90.5
100,0,6.19E-05,2.5,90.5
100,11,6.44E-05,2.4,90.5
104,25,6.47E-05,2.8,90.5
98,0,6.51E-05,2.3,90.5
100,0,5.79E-05,2.4,89.6
105,52,6.29E-05,2.9,89.6
100,0,5.79E-05,2.5,89.6
